query,outlier,views,subs,date,mins,channel,title,id
ai layoffs are not really about ai,0.272,5257694,19300000,2026-03-26,129.2,The Diary Of A CEO,"AI Whistleblower: We Are Being Gaslit By AI Companies, They’re Hiding The Truth! - Karen Hao",Cn8HBj8QAbk
ai layoffs are not really about ai,0.225,3400,15100,2026-04-04,16.4,Airtribe,The Truth About AI Layoffs No One Is Saying,B8rxCZ-sccg
ai layoffs are not really about ai,0.22,919480,4170000,2025-11-20,7.2,CNBC,How AI Layoffs Could Backfire On Employers,zp9GTOVAyoI
ai layoffs are not really about ai,0.168,11384,67800,2025-05-26,3.0,Brendan Dell ,I talked to 3 CEOs about AI layoffs (here's what they told me),eBVk-GgslWs
ai layoffs are not really about ai,0.167,694309,4170000,2025-11-04,6.1,CNBC,The Truth About AI And The Mass Layoffs,8g5img1hTes
ai layoffs are not really about ai,0.11,2186845,19800000,2025-05-30,10.8,CNN,AI company's CEO issues warning about mass unemployment,zju51INmW7U
ai layoffs are not really about ai,0.101,80308,798000,2026-02-28,16.4,GEN,Why AI isn't the Reason They’re Firing You,-PGryEautSU
ai layoffs are not really about ai,0.097,1865206,19300000,2025-09-05,1.5,The Diary Of A CEO,YOUR JOB WILL BE GONE IN 5 YEARS!,W2F-mv6aMpg
ai layoffs are not really about ai,0.073,51571,702000,2026-07-02,35.4,ForrestKnight,AI Isn't Actually Replacing Developers (Big Tech Layoffs),7QKcphdM5Cw
ai layoffs are not really about ai,0.05,768967,15500000,2026-09-03,32.1,The Infographics Show,What if the AI Bubble Bursts (Day by Day),T9d6lrvzM9o
ai layoffs are not really about ai,0.015,142460,9690000,2026-09-03,7.3,Firstpost,"Oracle, PayPal, Uber Cut Jobs in India; Is AI to Blame? | Vantage on Firstpost | 4K",b7eLabgsytY
ai companion apps and kids,0.137,3063,22300,2025-12-12,5.7,Code Brew Labs,How to Build an AI Companion App in 2026,QIu5sZRqUbI
ai companion apps and kids,0.026,166,6470,2025-08-04,11.7,Cool Cat Teacher,"NEWS: Open AI Study Mode, AI Companion Apps and Things You Need to Know Before School Starts",RrJSZ6UeyK0
ai companion apps and kids,0.023,25,1070,2025-07-21,8.7,Giggle Wiggle Official,When Your Child’s Best Friend Is a Bot | AI Companions & Parenting Tips,kGIlJTSGRag
ai companion apps and kids,0.019,27,1430,2025-04-24,22.8,The Impactful Parent,Ai Companions and the Future of Parenting,6iJoOsFq9dw
someone who has watched ai for decades,15.565,171214,11000,2026-05-27,25.6,Simulation Sandbox,Testing How Much AI Has Improved In 6 Years,1BSOkwkERSE
someone who has watched ai for decades,4.742,7445,1570,2026-08-24,4.2,D4 - Studios,5 YEARS | Sci Fi | Psychological Thriller | AI Short Film,R97qLptNfUM
someone who has watched ai for decades,3.904,1073678,275000,2025-04-26,22.4,Pindex,Why AI experts say humans may have two years left. Stephen Fry,uMwjKyAPR34
someone who has watched ai for decades,1.474,1312256,890000,2026-07-30,48.1,Yuval Noah Harari ,"The next 50 years: humanity, AI, power | Yuval Noah Harari",_V_ed5fuexA
someone who has watched ai for decades,1.046,170570,163000,2025-08-13,21.3,Future Business Tech,"The Next 5 Years of AI, Year By Year",m-Wbn1htwdY
someone who has watched ai for decades,0.983,117936,120000,2026-05-18,29.6,JL Mussi,I Spent 20 Years Learning 3D. Then AI Happened,ivxstvYb43g
someone who has watched ai for decades,0.84,394748,470000,2026-09-01,12.8,Alberta Tech,Google has secretly been watermarking your text for years.,BFksx2M93sw
someone who has watched ai for decades,0.809,82564,102000,2026-07-10,16.8,Future of Life Institute,Why AI experts say humans have two years left,ci5rCe9vmxw
someone who has watched ai for decades,0.711,49752,70000,2026-09-02,1.8,Parthknowsai,See how Netflix is replacing their decade old recommendation system with a language model #ai #tech,v8CMdeRWfRI
someone who has watched ai for decades,0.622,16991,27300,2026-08-19,104.8,Anunnaki Dreams,AI Just Read a Scroll Nobody Could Read for 40 Years,bwzYBo-ssTk
someone who has watched ai for decades,0.432,111846,259000,2026-06-18,6.3,Orange,"AI Agents, Sovereignty & the Next Decade of Innovation | Bruno Zerbib | VivaTech 2026",XZKYCMaSXyY
someone who has watched ai for decades,0.399,8807,22100,2025-10-17,2.6,Talented Blake,DDG ( 17 more years AI  ) FULL REACTION,If627-V6G6U
someone who has watched ai for decades,0.284,5471912,19300000,2025-11-27,142.3,The Diary Of A CEO,AI Expert: Here Is What The World Looks Like In 2 Years! Tristan Harris,BFU1OCkhBwo
someone who has watched ai for decades,0.208,268440,1290000,2026-08-21,110.7,Danny Jones,"""Only 2 Years Left"" AI Whistleblower Warns What Comes Next | Roman Yampolskiy",ebWFexw51qM
someone who has watched ai for decades,0.177,165296,936000,2026-08-31,45.3,dakota of earth,I Found a Holy Man Standing for 12 Years,E6nm5tONGho
someone who has watched ai for decades,0.125,261752,2090000,2026-08-14,19.2,Breaking Points,Mathematicians STUNNED After AI Solves 10 Decades Old Problems,2WT1kNnoyuU
someone who has watched ai for decades,0.081,64902,801000,2025-01-24,9.0,Andrew Bustamante,CIA’s Been Using AI for Decades - What You Need to Know,lx8MT1hmHmc
someone who has watched ai for decades,0.079,269,3420,2026-09-04,2.1,FAME By Sheeraz,George Clooney Warns AI Deepfakes Could Threaten Truth,mxTIW0LBcMU
someone who has watched ai for decades,0.064,16620,258000,2026-07-05,12.6,Reysu,I tried using AI every day for 3 years (this is what happened),gbwLDWUXE4s
someone who has watched ai for decades,0.057,801892,14000000,2026-03-26,6.0,The Daily Show,Could AI End Humanity in Five Years? Ronny Chieng Investigates | The Daily Show,cYTMjwZzzxg
someone who has watched ai for decades,0.003,1392,458000,2026-09-03,15.5,World Bank Group,Can AI Do in a Decade What Took a Century? | World Development Report 2026 | Talking Development,VCqfv408wYg
